Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.607747237	5.895127773	0	NaN
0.607758826	5.852931976	0	NaN
0.607770393	5.864066124	0	NaN
0.607781989	5.853732109	0	NaN
0.607793538	5.856797218	0	NaN
0.607805137	5.854306698	0	NaN
0.607816695	5.8507967	0	NaN
0.60782827	5.856486797	0	NaN
0.607839873	5.835951805	0	NaN
0.607851421	5.845950127	0	NaN	
0.607862978	5.783514023	0	NaN
0.607874565	5.819033623	0	NaN
0.607886126	5.786349297	0	NaN
0.60789772	5.863053322	0	NaN
0.607909285	5.830386162	0	NaN
0.607920845	5.889976502	0	NaN
0.607932466	5.833499908	0	NaN
0.607944016	5.866247177	0	NaN
0.607955571	5.783685684	0	NaN
0.607967147	5.832372189	0	NaN
0.60797872	5.764997006	0	NaN
0.607990313	5.815038204	0	NaN
0.608001881	5.762182713	0	NaN
0.608013453	5.819331169	0	NaN
0.608025025	5.784550667	0	NaN
0.608036594	5.821657658	0	NaN
0.608048175	5.779489517	0	NaN
0.608059749	5.80667305	0	NaN
0.608071328	5.801428318	0	NaN
0.608082883	5.80793047	0	NaN
0.608094469	5.821921349	0	NaN
0.608106036	5.805746079	0	NaN
0.608117632	5.820669174	0	NaN
0.608129198	5.769064903	0	NaN
0.608140786	5.796892643	0	NaN
0.608152329	5.764626503	0	NaN
0.608163914	5.810306549	0	NaN
0.608175483	5.785806656	0	NaN
0.608187063	5.819723606	0	NaN
0.608198627	5.768642426	0	NaN
0.608210214	5.817373753	0	NaN
0.608221789	5.73955822	0	NaN
0.608233353	5.799230099	0	NaN
0.608244929	5.743773937	0	NaN
0.608256504	5.820450306	0	NaN
0.608268075	5.744981289	0	NaN
0.60827967	5.794208527	0	NaN
0.608291215	5.726593971	0	NaN
0.608302796	5.750058174	0	NaN
0.608314387	5.716992855	0	NaN
0.60832594	5.75083828	0	NaN
0.608337517	5.740790844	0	NaN
0.608349103	5.747576237	0	NaN
0.608360659	5.732820988	0	NaN
0.608372246	5.720924854	0	NaN
0.608383818	5.729892254	0	NaN
0.608395401	5.723736763	0	NaN
0.608406971	5.74326849	0	NaN
0.608418548	5.71265173	0	NaN
0.608430104	5.751293659	0	NaN
0.608441701	5.712090492	0	NaN
0.608453257	5.721024036	0	NaN
0.608464839	5.682286739	0	NaN
0.60847642	5.702104092	0	NaN
0.608487984	5.670143604	0	NaN
0.60849958	5.74207592	0	NaN
0.608511142	5.691505909	0	NaN
0.608522724	5.73291111	0	NaN
0.608534301	5.658366203	0	NaN
0.608545861	5.719174385	0	NaN
0.608557423	5.635694504	0	NaN
0.60856901	5.701938629	0	NaN
0.608580568	5.648579598	0	NaN
0.60859215	5.718987942	0	NaN
0.608603741	5.639176369	0	NaN
0.608615289	5.678654671	0	NaN
0.608626892	5.632344246	0	NaN
0.608638461	5.675179005	0	NaN
0.608650023	5.674840927	0	NaN
0.608661587	5.659649372	0	NaN
0.60867317	5.701471329	0	NaN
0.608684761	5.654639721	0	NaN
0.608696327	5.671223164	0	NaN
0.608707883	5.62274313	0	NaN
0.608719475	5.633097172	0	NaN
0.608731048	5.576891899	0	NaN
0.608742603	5.640716076	0	NaN
0.608754185	5.591651917	0	NaN
0.608765754	5.659614086	0	NaN
0.608777333	5.584266186	0	NaN
0.608788906	5.607970238	0	NaN
0.608800486	5.54718256	0	NaN
0.608812059	5.63250351	0	NaN
0.608823642	5.586778641	0	NaN
0.608835195	5.651538849	0	NaN
0.608846773	5.575528622	0	NaN
0.608858347	5.63025713	0	NaN
0.608869933	5.538393021	0	NaN
0.608881518	5.599882603	0	NaN
0.608893091	5.566399097	0	NaN
0.608904644	5.614046097	0	NaN
0.608916225	5.591508389	0	NaN
0.608927793	5.602267742	0	NaN
0.608939361	5.581189632	0	NaN
0.608950954	5.57217598	0	NaN
0.608962519	5.584610462	0	NaN
0.608974123	5.549194813	0	NaN
0.608985661	5.577242851	0	NaN
0.608997242	5.549421787	0	NaN
0.609008807	5.582988739	0	NaN
0.609020378	5.540140629	0	NaN
0.609031966	5.573033333	0	NaN
0.609043549	5.501699448	0	NaN
0.609055121	5.53263855	0	NaN
0.609066679	5.475420475	0	NaN
0.60907827	5.553191185	0	NaN
0.609089823	5.506788731	0	NaN
